0,玩具总动员,约翰·拉塞特,胡迪是小主人安迪最喜欢的传统牛仔玩偶，他和其他玩具趁主人不在时，便会＂活＂起来一起玩闹。可是好景不常，最新奇的热门玩具巴斯光年来了，他让胡迪备受冷落。失宠的胡迪为了巩固自己的地位，只好处心积虑地想要赶走巴斯。在一次意外中，胡迪和巴斯不幸陷入一个玩具虐待狂的邻居家中而命在旦夕。两个冤家路窄互不相容的对手，是否能够化敌为友、发挥机智，顺利地通过这场冒险之旅，回到小主的身边呢？,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/zOpj9XcRHKiHzS3z9I7NdTFX48O.jpg
1,勇敢者的游戏,乔·约翰斯顿,　　“尤曼吉”是一种类似于大富翁的棋类游戏，然而，和大富翁不同的是，“尤曼吉”的棋子能自动移动，当你走到其中一格时，这格描述的东西就会真实出现在你面前，而且游戏一经开始便不能结束，只有游戏结束才一切复原！,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/tszmoRbkPq5qys0eGfE4Rjbn22F.jpg
2,斗气老顽童2,马克·史蒂文·约翰逊,"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.",https://media.themoviedb.org/t/p/w300_and_h450_bestv2/1FSXpj5e8l4KH6nVFO5SPUeraOt.jpg
3,待到梦醒时分,Terry McMillan,萨瓦纳（惠特尼·休斯顿 Whitney Houston 饰）是一个信奉真爱至上的女人，总是希望能够找到一个完美的男人。可是，人哪有完美的呢？因此，萨瓦纳的每一段感情都有始无终。博纳丁（安吉拉·贝塞特 Angela Bassett 饰）很早就和丈夫携手步入了婚姻的殿堂，过上了梦寐以求的相夫教子的生活，然而，这生活却并没有她想象中的那么美好，她的丈夫不仅欺骗和背叛了她，还残忍的离她而去。  　　罗宾（莱拉·罗琼 Lela Rochon 饰）性格热情奔放桀骜不驯，选择自由自在不负责任的生活方式，可是，这样的选择虽然给她带来了短暂的欢愉，却也带来了更多的麻烦。葛洛莉亚（洛雷塔·迪瓦恩 Loretta Devine 饰）独自抚养儿子长大成人，生活十分的不易，如今，儿子已经成年了，即将远行。在这个节骨眼上，新搬来的英俊邻居吸引了葛洛莉亚的注意。,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/qJU6rfil5xLVb5HpJsmmfeSK254.jpg
4,新岳父大人2：三喜临门,查尔斯·谢尔,　　乔治（史蒂夫·马丁 Steve Martin 饰）好不容易才接受了女儿已嫁为人妻的现实，本以为生活能够重新归于平静，没想到女儿怀孕的消息再度让乔治陷入了焦虑之中。女儿怀孕，不仅意味着她将步入人生新的阶段，同时还意味着，乔治已经到了升格成为外公的年纪了，一种深深的危机感弥漫在乔治的心头无法挥散。  　　不知是福是祸，乔治的妻子妮娜（黛安·基顿 Diane Keaton 饰）也有喜了，一边是外公，一边是父亲，被两种身份困扰得焦头烂额的乔治能够担负起自己的责任吗？在这样一个节骨眼上，不知道是哪根筋搭错了的乔治竟然将精力投入到了证明自己依旧“宝刀未老”这件事情上面。,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/rj4LBtwQ0uGrpBnCELr716Qo3mw.jpg
5,盗火线,迈克尔·曼,文森特•汉纳是洛杉矶警局重案组的探长，工作积极投入，打击犯罪毫不手软，因此，家庭生活危机重重，目前的第三次婚姻也面临解体；尼尔•麦考利是职业匪徒，混迹江湖多年，做事干净利落，而且心狠手辣，不留后患，组织手下成功抢劫运钞车的案子，使他受到了警方的“特别关注”。一个偶然的机会，尼尔认识了平面设计师伊迪，两人一见钟情，再看到手下都有安定的家庭生活，尼尔也想把握自己的幸福，遂萌生退意。然而，在最后一次抢劫银行的行动中，因为叛徒的出卖，手下一死一伤，本已逃出的尼尔，带着伊迪在去机场的路上，得知了叛徒的消息，他决定替手下报仇，同时也和文森特•汉纳进行最后的较量……,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/j54LgvBrKf8ULkHl7as5XDD3n48.jpg
6,情归巴黎,悉尼·欧文·波拉克,萨布里娜（朱莉娅·奥蒙德饰）是长岛一个富有庄园的司机的女儿，不谙世事的她对主人家的英俊风流的二少爷戴维（格雷戈·金尼尔饰）产生了恋情。但喜欢美色的戴维对平凡的萨布里娜根本不屑一顾，像这样平凡的女孩根本就不是他喜欢的类型。戴维的母亲莱瑞比夫人托朋友给萨布里娜在巴黎找了一份工作，打算把她送到巴黎的《时尚》杂志社中去工作两年。去巴黎工作就意味着要和戴维分开，这让萨布里娜十分难过。临别前，萨布里娜到来戴维的房间吐露了自己的感情，没想到却被戴维的哥哥莱纳斯（哈里森·福特饰）洞察了心曲。,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/zENmHYYCsR6xgdyh2uHXPX4tyXE.jpg
7,汤姆历险记,Peter Hewitt,本片改编自大文豪马克·吐温的作品。密西西比河畔小镇上出了名的捣蛋鬼汤姆和他的流浪哥们哈克无意中目击印第安人乔杀人并嫁祸于无辜的老醉鬼马夫，在良心的驱使下，汤姆与哈克决定偷取杀人凶手的藏宝图以帮助马夫洗刷冤屈，但乔却在寻获在寻获宝物后将图烧了，现在唯一能解救马夫的只有两人的证词。,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/vIG8hWOa7DyLMRiurzKwVAnIYoU.jpg
8,突然死亡,彼得·海姆斯,这天，达伦（尚格•云顿 Jean-Claude Van Damme 饰）和他的女儿高高兴兴前往体育馆观看冰上曲棍球比赛。因这是一场十分关键的比赛，所以体育馆内人山人海，很多达官贵人也前来观战助威。不料人多拥挤，达伦和女儿走散了。四出寻找女儿的达伦，女儿没找到，反而发现了一个惊天大秘密！  　　达伦发现了这里的保安和警察都有点不对劲，仔细观察下，他得知了这些警察和保安竟然都是恐怖分子假扮的，更可怕的是，这些恐怖分子已经控制住了贵宾厢内包括副总理在内的一众贵宾。达伦如何才能在这一团遭的局面杀出生天？,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/e7pDLXg1Rr08jq1T89f4zSA3D5W.jpg
9,007：黄金眼,伊恩·弗莱明,黄金眼是苏联研制的用于发射电磁波破坏对方电子系统的攻击性卫星。与007一块出生入死的朋友艾里克死后突然复出，夺取了黄金眼，并密谋从伦敦银行电脑中转出巨款，然后利用黄金眼毁灭证据，007深入基地，并炸毁基地。此次冒险行动中，邦德必须寻找在苏联被劫走的黄金眼，那是一种带有电磁波的武器，是被一位叛变的苏联将军所偷。这项任务背后，最复杂的是邦德发现制造这次阴谋的歹徒是他的一位旧识及同僚，他是英国籍的探员006，他计划使用这项武器引起全球金融的瓦解，藉此增加财富。同时，邦德遇见美艳女郎的西娜·奥纳托，她是一位变态的歹徒，并用尽一切方法对付007。另一位新进的邦德女郎是娜塔丽娅，她协助邦德打败006。,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/5qD5eSKi1uCpgPcdjtZsaXy5rVX.jpg
10,美国总统,罗伯·莱纳,女主角悉尼是一个政治观点比总统更激进的说客，为一家从事环境保护游说的咨询公司工作。一次她在白宫善意地挖苦总统，碰巧被总统听到。两人一见钟情，总统借用国宴的机会非正式地公开自己的恋爱新动向。当美国总统遇上心仪的女人，不但要面对媒体的批评，更要处理国家大事，她是一位说服政客鼓吹环保的女人，和总统的一段情使她备受压力，而总统却因其余的国家大事忽略了她的环保提案，这样的组合能有完美的结局吗？,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/anxzpKmDoexEo5SBRmUvHRTCz7Z.jpg
11,吸血鬼也疯狂,梅尔·布鲁克斯,1893年，英国律师托马斯（彼特•麦尼科 Peter MacNicol 饰）奔赴特兰西瓦尼亚，在当地居民的惊恐中拜见了德古拉伯爵（莱斯利•尼尔森 Leslie Nielsen 饰），并为其代理购买了一座英国修道院。德古拉次日将托马斯蛊惑，使其变成了自己的忠仆。主仆两人来到英国伦敦，德古拉见到了修道院左近精神病院的管理者斯沃德医生，斯沃德医生女儿的美丽朋友露西令德古拉心怀吸血念头，同时，托马斯因为吞食昆虫被斯沃德医生控制在精神病院中失去自由。德古拉吸食露西血液得逞，后者陷入昏迷，焦急的斯沃德医生请来医学院教授范海辛（梅尔•布鲁克斯 Mel Brooks 饰）相助，才知道吸血鬼来袭的真相。范海辛率众人与德古拉及其仆人展开了一场拉锯式的吸血攻防战……,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/4rRfZz8YnHNRr16t3CFcJrPdXHi.jpg
12,雪地灵犬,Cliff Ruby,一只半狼半犬的狼狗贝托，于19世纪末在阿拉斯加受到人们及爱斯基摩犬的排挤。不晓得自己属于何种族群的贝托，身边只有四位好朋友：美丽的爱斯基摩犬珍娜、聒噪却善良的企鹅波利斯、害羞可爱的北极熊木克及路克。虽然贝托的“杂种”身分与他们格格不入，但他的好友在意的并不是他的外型,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/dCVcdb5oxDizqFLz0F7TE60NoC9.jpg
13,尼克松,奥利弗·斯通,　　影片试图从客观的立场出发探讨因水门丑闻而下台的美国总统理查德·米尔豪斯·尼克松的政治生涯。虽然也涉及到他的童年和早期从政的经历，但重点是在水门事件。当影片中一个女学生当面问总统：“为什么你作为总统制止不了越南战争？是不是因为这个制度？”尼克松似有所悟，他对手下人说：“她懂得我花了二十五年时间搞政治才懂得的事情……”,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/8O2sBYJq0K0EMpw67cU1PjVJ7w3.jpg
14,割喉岛,雷尼·哈林,活跃于加勒比海上的哈里、道格（Frank Langella 饰）、莫迪三兄弟各保存着一份藏宝图的三分之一，道格欲独占宝藏将哈里重伤致死。哈里之女摩根（Geena Davis 饰）接管晨星号海盗船，继承了父亲复仇与寻宝的遗愿。摩根取下父亲头皮上的藏宝图，却因无法辨识图上的拉丁文而登陆求助，适逢惯偷肖（Matthew Modine 饰）被官方贩卖为奴，摩根依赖肖的翻译能力把他买下，并且很快在官军对自己的追捕中展现了悍女本色。摩根等人寻至莫迪处，不料道格意外出现，混乱中莫迪身死，而肖将第二张藏宝图占为己有。摩根惩治了肖的不忠，但却无法摆脱尾随的道格，最终船员叛变，摩根失去了晨星号，虽然肖协助摩根发现割喉岛宝藏所在，但是在道格和官军的围堵下，取得宝藏谈何容易？,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/yV3B0qIwf2jFsqzoA7dwo8hJZZz.jpg
15,赌城风云,马丁·斯科塞斯,萨姆·“埃斯”·罗思坦（罗伯特·德尼罗 Robert De Niro 饰）抱着“赌博是一桩需要认真对待的事业”这个信念经营这一家拉斯维加斯的赌场。这个信念使他的赌场生意兴隆，而也让他成为富四一方的大亨。但是自从他娶了妓女出身的金姬（莎朗·斯通 Sharon Stone 饰）后，一切都发生了改变。金姬是个贪得无厌，嗜好酒和毒品的美丽女人，对前男友旧情不忘甚至给他送钱；黑社会老大派来保护萨姆的尼基（乔·佩西 Joe Pesci 饰）总是触犯法律，被警方禁止踏足赌场，还不量力要当老板；萨姆开除了不负责任的雇员却得罪了当地的官员；更糟糕的是，萨姆和昔日的合作伙伴间的摩擦加剧。所有的一切，都使萨姆心神不宁……,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/75IolYoqooDR8c6DDITve21t79v.jpg
